code,year,month,period,type,amount,curr,cfo,depr_depl_amort,cfi,ppe_purchase,intangibles_purchase,capex,cff,payments_for_dividends,repurchase_of_stock,issuance_of_debt,payments_of_debt,fcf,fcf_adjusted,net_change_in_cash,cash_paid_for_interest,cash_paid_for_tax,ffo
GAZP,2021,12,6M,МСФО,1000000,RUB,1803404,414184,-975377,,,1102326,-223426,,,,,701078,,,,,
GAZP,2021,12,6M,РСБУ,1000,RUB,,,,,,,,,,,,,,,,,
GAZP,2021,12,Q,МСФО,1000000,RUB,1233010,208034,-562231,,,639872,34412,,,,,593138,,,,,
GAZP,2021,12,Q,РСБУ,1000,RUB,,,,,,,,,,,,,,,,,
GAZP,2021,12,Y,МСФО,1000000,RUB,3015390,828027,-1830437,,,1933766,-178931,,,,,1081624,,,,,
GAZP,2021,12,Y,РСБУ,1000,RUB,1716902203,678087391,-1306157783,,,197931829,425206711,,,,,1518970374,,,,,
GAZP,2022,6,6M,МСФО,1000000,RUB,878384,440012,-979307,,,,-355967,,,,,878384,,,,,
GAZP,2022,12,6M,МСФО,1000000,RUB,1314298,422368,-1157663,,,,-438008,,,,,-877344,,,,,
GAZP,2022,12,Y,МСФО,1000000,RUB,2192682,862380,-2136970,,,2191642,-793975,,,1338254,874127,1040,,,,,
GAZP,2022,12,Y,РСБУ,1000,RUB,1797404328,957126781,-1114202895,,135206758,135206758,-1669992215,1103809239,,1000643157,1553548519,1662197570,,,5600612,,
GAZP,2023,6,6M,МСФО,1000000,RUB,681220,462848,-1329206,,,1187815,129429,12745,,682746,475394,-506595,,,34910,,
GAZP,2023,6,6M,РСБУ,1000,RUB,,,,,,,,,,,,,,,,,
GAZP,2023,9,9M,МСФО,1000000,RUB,1640974,707063,-1915745,,,1766218,260025,28982,,949447,667210,-125244,,,56593,,
GAZP,2023,9,9M,РСБУ,1000,RUB,,,,,,,,,,,,,,,,,
GAZP,2023,9,Q,МСФО,1000000,RUB,959754,244215,-586539,,,578403,130596,16237,,266701,191816,381351,,,21683,,
GAZP,2023,9,Q,РСБУ,1000,RUB,,,,,,,,,,,,,,,,,
GAZP,2023,12,6M,МСФО,1000000,RUB,1615003,519210,-1585864,,,1234202,713288,18016,,919088,465637,380801,,,57147,,
GAZP,2023,12,6M,РСБУ,1000,RUB,,,,,,,,,,,,,,,,,
GAZP,2023,12,Q,МСФО,1000000,RUB,655249,274995,-999325,,,655799,582692,1779,,652387,273821,-550,,,35464,,
GAZP,2023,12,Q,РСБУ,1000,RUB,,,,,,,,,,,,,,,,,
GAZP,2023,12,Y,МСФО,1000000,RUB,2296223,982058,-2915070,,,2422017,842717,30761,,1601834,941031,-125794,,,92057,,
GAZP,2023,12,Y,РСБУ,1000,RUB,998390347,941291315,-2102534774,,147815824,147815824,1160071393,605537,,1871201696,858205348,850574523,,,,,
GAZP,2024,3,Q,РСБУ,1000,RUB,,,,,,,,,,,,,,,,,
GAZP,2024,6,6M,МСФО,1000000,RUB,430177,558647,-859996,,,1057888,-295413,15128,,520673,652572,-627711,,,80204,,
GAZP,2024,6,6M,РСБУ,1000,RUB,,,,,,,,,,,,,,,,,
GAZP,2024,6,Q,РСБУ,1000,RUB,,,,,,,,,,,,,,,,,
GAZP,2024,9,9M,МСФО,1000000,RUB,1569743,835933,-1509171,,,1644693,-533309,134480,,668405,832537,-74950,,,135048,,
GAZP,2024,9,9M,РСБУ,1000,RUB,27256974,,-657818918,,107421202,107421202,872649467,,,1500153692,615877375,-80164228,,,,,
GAZP,2024,9,Q,МСФО,1000000,RUB,1139566,277286,-649175,,,586805,-237896,119352,,147732,179965,552761,,,54844,,
GAZP,2024,9,Q,РСБУ,1000,RUB,,,,,,,,,,,,,,,,,
GAZP,2024,12,6M,МСФО,1000000,RUB,2065511,819127,-1393560,,,1295901,-399269,208448,,490985,475260,769610,,,116718,,
GAZP,2024,12,6M,РСБУ,1000,RUB,,,,,,,,,,,,,,,,,
