code,year,month,period,type,amount,curr,interest_net,commission_income,interest_income,other_operating_income,revenue,cost_of_sales,gross_profit,sel_gen_adm_expenses,operating_income,ebitda,ebitda_adjusted,ebit,earnings_wo_tax,earnings_continuing_operations,earnings,earnings_stock_holders,earnings_comprehensive,earnings_comprehensive_stock_holders
ROSN,2023,12,6M,РСБУ,1000,RUB,-218485729,,42813861,,4987019098,3814822211,1172196887,448839105,759896097,642193925,,642193925,423708196,,405900340,405900340,,
ROSN,2023,12,Q,МСФО,1000000000,RUB,,,,,2551,,,,404,516,602,328,328,,252,191,,
ROSN,2023,12,Q,РСБУ,1000,RUB,-107745771,,22740991,,2622853292,2021257729,601595563,227753698,370841865,297484767,,297484767,189738996,,618167598,618167598,,
ROSN,2023,12,Y,МСФО,1000000000,RUB,,,,,9163,,,,2182,2726,3005,1957,1957,,1529,1267,,
ROSN,2023,12,Y,РСБУ,1000,RUB,-424721732,,73351786,,8405258315,6327323642,2077934673,772182463,1302752210,1142004958,,1142004958,717283226,,663631556,663631556,,
ROSN,2024,3,Q,МСФО,1000000000,RUB,,,,,2594,,,,646,819,857,619,619,,486,399,,
ROSN,2024,3,Q,РСБУ,1000,RUB,-106171434,,17852117,,2206546059,1857484761,349061298,161841889,187219409,154724540,,154724540,48553106,,39984672,39984672,,
ROSN,2024,6,6M,МСФО,1000000000,RUB,,,,,5174,,,,1227,1616,1650,1214,1214,,942,773,,
ROSN,2024,6,6M,РСБУ,1000,RUB,-218385277,,35097369,,4487560894,3777207128,710353766,347524062,362829704,358167547,,358167547,139782270,,118386123,118386123,,
ROSN,2024,6,Q,МСФО,1000000000,RUB,,,,,2580,,,,581,797,793,595,595,,456,374,,
ROSN,2024,6,Q,РСБУ,1000,RUB,-112213843,,17245252,,2281014835,1919722367,361292468,185682173,175610295,203443007,,203443007,91229164,,78401451,78401451,,
ROSN,2024,9,9M,МСФО,1000000000,RUB,,,,,7645,,,,1673,2135,2321,1519,1519,,1140,926,,
ROSN,2024,9,9M,РСБУ,1000,RUB,-341973011,,51221389,,7020335054,5645688840,1374646214,509871904,864774310,725948789,,725948789,383975778,,388996531,388996531,,
ROSN,2024,9,Q,МСФО,1000000000,RUB,,,,,2471,,,,446,519,671,305,305,,198,153,,
ROSN,2024,9,Q,РСБУ,1000,RUB,-123587734,,16124020,,2532774160,1868481712,664292448,162347842,501944606,367781242,,367781242,244193508,,270610408,270610408,,
ROSN,2024,12,6M,МСФО,1000000000,RUB,,,,,4965,,,,902,1125,1379,679,679,,399,311,,
ROSN,2024,12,6M,РСБУ,1000,RUB,-299512722,,33819711,,4857425137,3677452798,1179972339,346773320,833199019,703786683,,703786683,404273961,,423725351,423725351,,
ROSN,2024,12,Q,МСФО,1000000000,RUB,,,,,2494,,,,456,606,708,374,374,,201,158,,
ROSN,2024,12,Q,РСБУ,1000,RUB,-175924988,,17695691,,2324650977,1808971086,515679891,184425478,331254413,336005441,,336005441,160080453,,153114943,153114943,,
ROSN,2024,12,Y,МСФО,1000000000,RUB,,,,,10139,,,,2129,2741,3029,1893,1893,,1341,1084,,
ROSN,2024,12,Y,РСБУ,1000,RUB,-517897999,,68917080,,9344986031,7454659926,1890326105,694297382,1196028723,1061954230,,1061954230,544056231,,542111474,542111474,,
ROSN,2025,3,Q,МСФО,1000000000,RUB,,,,,2283,,,,356,607,598,376,376,,277,170,,
ROSN,2025,6,6M,МСФО,1000000000,RUB,,,,,4263,,,,582,1025,1054,568,568,,417,245,,
ROSN,2025,6,6M,РСБУ,1000,RUB,-416690410,,43765541,,3992183063,3219240254,772942809,378427957,394514852,374104015,,374104015,-42586395,-42586395,55665207,55665207,97572759,97572759
ROSN,2025,6,Q,МСФО,1000000000,RUB,,,,,1980,,,,226,418,456,192,192,,140,75,,
ROSN,2025,9,9M,МСФО,1000000000,RUB,,,,,6288,,,,814,1397,1641,684,684,,479,277,,
ROSN,2025,9,9M,РСБУ,1000,RUB,-642694185,,67736173,,6020257073,4714600803,1305656270,581869380,723786890,633749953,,633749953,-8944232,-8944232,132524194,132524194,195382521,195382521
ROSN,2025,9,Q,МСФО,1000000000,RUB,,,,,2025,,,,232,372,587,116,116,,62,32,,
ROSN,2025,9,Q,РСБУ,1000,RUB,-226003775,,23970632,,2028074010,1495360549,532713461,203441423,329272038,259645938,,259645938,33642163,33642163,76858987,76858987,97809762,97809762
ROSN,2025,12,6M,МСФО,1000000000,RUB,,,,,3973,,,,505,763,1119,251,251,,127,48,,
ROSN,2025,12,6M,РСБУ,1000,RUB,-441824061,,42387585,,3688975037,2843186040,845788997,409525491,436263506,443517648,,443517648,1693587,,91824172,,133726508,
ROSN,2025,12,Q,МСФО,1000000000,RUB,,,,,1948,,,,273,391,532,135,135,,65,16,,
ROSN,2025,12,Q,РСБУ,1000,RUB,-215820286,,18416953,,1660901027,1347825491,313075536,206084068,106991468,183871710,,183871710,-31948576,,14965185,,35916746,
ROSN,2025,12,Y,МСФО,1000000000,RUB,,,,,8236,,,,1087,1788,2173,819,819,,544,293,,
ROSN,2025,12,Y,РСБУ,1000,RUB,-858514471,,86153126,,7681158100,6062426294,1618731806,787953448,830778358,817621663,,817621663,-40892808,,147489379,,231299267,
ROSN,2025,12,YTM,МСФО,1000000000,RUB,,,,,8236,,,,1087,1788,2173,819,819,,544,293,,
ROSN,2025,12,YTM,РСБУ,1000,RUB,-858514471,,86153126,,7681158100,6062426294,1618731806,787953448,830778358,817621663,,817621663,-40892808,,147489379,,231299267,
